更新日,曲名
2026/02/02,【超かぐや姫!】 [OP] Ex-Otogibanashi  ※パート分け有 bb265 (On-Off).mp4
2026/02/02,キャプテンパワー 日本語吹替版 OP_ふりむけばDanger!_堀江美都子_2CH_画質UP版.mp4
2026/02/02,「絆」亀梨和也【オフボーカル・コーラス入り】.mp4
2026/02/02,【多聞くん今どっち！？ OP】 Sweet Magic(cut&コーラス入-on) ／ F／ACE_けんちぃ_1132.mp4
2026/02/02,【地獄楽 2nd Season ED】 PERSONAL(cut&コーラス入-on) ／ 女王蜂__けんちぃ_1140.mp4
2026/02/02,【メダリスト】 [OP] Cold Night／HANA ※パート分け有 bb261 ver2 (On-Off).mp4
2026/02/01,【花ざかりの君たちへ OP】 アドレナ(cut&コーラス入-on) ／ YOASOBI_けんちぃ_1130.mp4
2026/02/01,なぜ？謎？！ANSWER 簡易版 (OnVocal).mp4
2026/02/01,【PT_ラブラブお痴験バイト性活 OP主題歌】LIP TIP／榊原ゆい_v1【ON-OFF】.avi
2026/02/01,【PT_星織ユメミライ 篠崎真里花ED】あいのうた／佐咲紗花_v3.1【ON-OFF】.avi
2026/02/01,【PT_星織ユメミライ 篠崎真里花イメージソング】キミの街へ☆彡／佐咲紗花_v3.1【ON-OFF】.avi
2026/02/01,【PT_星織ユメミライ 逢坂そらED】Celestia／霜月はるか_v3【ON-OFF】.avi
2026/02/01,【PT_星織ユメミライ 逢坂そらイメージソング】Star Linker／霜月はるか_v3【ON-OFF】.avi
2026/02/01,【幼馴染とはラブコメにならない】あいらびゅ♡(パート分け)／HoneyWorks meets 水萌汐・火威灯・月見るな・日向春(久住琳・芹澤優・平塚紗依・山本悠有希)[on-cut].mp4
2026/02/01,【有栖川煉ってホントは女なんだよね。】[ED]僕とのひめゴト(on-off)_パート分け_オンエア版／sammy.mp4
2026/02/01,【真・侍伝 YAIBA】「BLADE」[Op][BLUE ENCOUNT][On-Off][アニメ][芝ちゃん].mp4
2026/02/01,デッドアカウント (off-UVRchorus-on) デッドエンド※五十嵐ハル MV.mp4
